ticker_event,earnings_date,window_start,window_end,event_id,timestamp,open,high,low,close,volume,momentum,volatility,avg_volume_event,pre_close,window_return,split
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 13:00:00+00:00,299.59,301.34,295.55,301.0,285526.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 14:00:00+00:00,300.67,301.05,294.53,295.19,6946161.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 15:00:00+00:00,295.19,302.23,294.45,302.16,7467476.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 16:00:00+00:00,302.16,305.4,300.96,305.1,6311887.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 17:00:00+00:00,305.13,305.25,302.22,302.44,4601295.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 18:00:00+00:00,302.47,304.5697,302.4,303.6165,4116603.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 19:00:00+00:00,303.6,304.37,299.95,303.09,4662100.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 20:00:00+00:00,303.09,308.48,302.76,308.29,9619165.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 21:00:00+00:00,308.26,308.5,299.84,308.28,10042570.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-01-25,2022-01-20,2022-01-30,101,2022-01-28 22:00:00+00:00,308.25,308.4,308.1,308.3,52401.0,0.004489311870586321,0.003699691711697533,5237924.0,298.05,0.012845362856861347,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 08:00:00+00:00,288.6,289.02,288.6,288.97,3001.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 09:00:00+00:00,288.81,288.81,288.54,288.79,2535.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 10:00:00+00:00,288.81,289.0,288.65,288.98,5341.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 11:00:00+00:00,288.9,289.55,288.61,289.41,26770.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 12:00:00+00:00,288.8984,289.76,288.72,289.3,51746.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 13:00:00+00:00,289.4,293.3,288.32,291.86,4176652.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
